App Name,API Product,API Proxy
Backbase-NDB-MOB-App,BDOPay2-BB-PREPROD,ApiBanking-ChangeSMS-v1
NDBMOB,BDO-Digital-FICO-PREPROD,ApiBanking-FICO-HostResponse-v1
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyBDO
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyBDO-v3
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyEmail-v1
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyImmediate-v2
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyImmediate-v3
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyImmediateRequestEncrypted-v1
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyImmediateRequestTokenized-v1
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyImmediateTransactionsEncrypted-v1
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyImmediateTransactionsTokenized-v1
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyInstaPay-v1
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyInstapay-v2
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyInstaPay-v3
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyInstaPayEncrypted-v1
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyInstapayRequest-v2
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyInstapayRequest-v3
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyInstapayRequestEncrypted-v2
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyInstaPayTokenized-v1
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyScheduled-v1
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyScheduled-v2
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyScheduled-v2-1
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyScheduled-v3
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyScheduledRequest-v2
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyScheduledRequest-v3
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyScheduledRequestEncrypted-v2
NDBMOB,BDO-Digital-FICO-PREPROD,SendMoneyScheduledTransactionsEncrypted-v1
NDBMOB,BDO-Digital-FICO-PREPROD,ApiBanking-UserAttributes-v1
NDBMOB,BDO-Digital-FICO-PREPROD,ApiBanking-Login-v1
BDOPay-Prod,BDO-Digital-PROD1,QrTransactionsVoid-v1
BDOPay-Prod,BDO-Digital-PROD1,MPQR-SP-V1
BDOPay-Prod,BDO-Digital-PROD1,CCNotification-SP-V1
BDOPay-Prod,BDO-Digital-PROD1,CASANotification-SP-V1
BDOPay-Prod,BDO-Digital-PROD1,StatusEnquiry-SP-V1
BDOPay-Prod,BDO-Digital-PROD1,VoidAuthorization-SP-V1
BDOPay-Prod,BDO-Digital-PROD1,QrRequest-v2
BDOPay-Prod,BDO-Digital-PROD1,QrTransactions-v2
BDOPay-Prod,BDO-Digital-PROD1,QrTransactionsVoid-v2
BDOPay-Prod,BDO-Digital-PROD1,VOIDTransaction-MS-V2
BDOPay-Prod,BDO-Digital-PROD1,CPQRAuthorization-SP-V1
BDOPay-Prod,BDO-Digital-PROD1,CPQRVerification-BB-V1
BDOPay-Prod,BDO-Digital-PROD1,TransactionStatusCPQRAndVoid-BB-V1
BDOPay-Prod,BDO-Digital-PROD1,Platform-logging-V1
BDOPay-Prod,BDO-Digital-PROD1,ApiBanking-GetUsersByCIF-v1
BDOPay-Prod,BDO-Digital-PROD1,DigiFI-Login-v2
BDOPay-Prod,BDO-Digital-PROD1,OAuth2-Token-API
BDOPay-Prod,BDO-Digital-PROD1,ApiBanking-AuthOTP-v1
BDOPay-Prod,BDO-Digital-PROD1,Otp-v1
BDOPay-Prod,BDO-Digital-PROD1,ApiBanking-ForgotUsername-v1
BDOPay-Prod,BDO-Digital-PROD1,ApiBanking-LoginFor2FA-v1
BDOPay-Prod,BDO-Digital-PROD1,Logout-v1
BDOPay-Prod,BDO-Digital-PROD1,CCM-v1-BAPI
BDOPay-Prod,BDO-Digital-PROD1,SendSMS-v1
BDOPay-Prod,BDO-Digital-PROD1,ApiBanking-ChangeEmail-v1
BDOPay-Prod,BDO-Digital-PROD1,ApiBanking-ChangeSMS-v1
BDOPay-Prod,BDO-Digital-PROD1,ApiBanking-EnrollmentsOthersCasa-v1
BDOPay-Prod,BDO-Digital-PROD1,GetClientInfo-v2
BDOPay-Prod,BDO-Digital-PROD1,ApiBanking-Customers-v1
BDOPay-Prod,BDO-Digital-PROD1,ApiBanking-Customers-v2
BDOPay-Prod,BDO-Digital-PROD1,DigiFI-Contact-Account-Enrollments-v1
BDOPay-Prod,BDO-Digital-PROD1,EnrolledAccounts-v0
BDOPay-Prod,BDO-Digital-PROD1,FinTech-TokenAppDetails-Private
BDOPay-Prod,BDO-Digital-PROD1,CreditCardAccounts-v2
BDOPay-Prod,BDO-Digital-PROD1,SendMoneyScheduled-v2-1
BDOPay-Prod,BDO-Digital-PROD1,SendMoneyEmail-v1
BDOPay-Prod,BDO-Digital-PROD1,Recipient-QR
BDOPay-Prod,BDO-Digital-PROD1,Billers-v1
BDOPay-Prod,BDO-Digital-PROD1,Internal-Remittance-API-v1
BDOPay-Prod,BDO-Digital-PROD1,commSigBalanceInq-v1
