App Name,API Product,Environments,API Proxy
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",ApiBanking-Logout-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",ApiBanking-ChangePassword-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",ApiBanking-2-Way-SMS-v0
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",ApiBanking-Login2FA-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",LoanAccounts-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",TDAccounts-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",PrepaidMobileReloadImmediate-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",SendMoneyScheduledRequest-v2
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",SendMoneyScheduled-v2
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",PrepaidMobileReloadRequest-v1
