App Name,API Product,Environments,API Proxy
NDBWEB,Retrieve-Currency-Exchange-V1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",Retrieve-Currency-Exchange-V1
NDBWEB,ViewingOfAccounts,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",CasaAccounts-v3
NDBWEB,ViewingOfAccounts,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",LoanAccounts-v2
NDBWEB,ViewingOfAccounts,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",TDAccounts-v2
NDBWEB,ViewingOfAccounts,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",ApiBanking-CreditCardAccountsTokenized-v5
NDBWEB,CheckBookReOrder-v1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",CheckBookReOrder-v1
NDBWEB,SendMoneyPesonetImmediate,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",SendMoneyPesonet-v1
NDBWEB,SendMoneyPesonetImmediate,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",SendMoneyPesonetRequest-v1
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",ApiBanking-DeviceRegistration-v1
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",ApiBanking-Login-v1
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",ApiBanking-CreditCardAccountsTokenized-v1
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",CasaAccounts-v1
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",ApiBanking-CreditCardAccountsTokenized-v2
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",ApiBanking-Login2FA-v2
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",ApiBanking-LoginFor2FA-v1
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",ApiBanking-ForgotPassword-v1
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",ApiBanking-CasaVerifications-v1
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",ApiBanking-CreditCardVerifications-v1
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",ApiBanking-Billers-v2
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",ApiBanking-UserAttributes-v1
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",SendMoneyInstaPay-v1
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",QrTransactions-v2
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",QrRequest-v2
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",SendMoneyImmediate-v2
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",SendMoneyBDO
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",SendMoneyInstapayRequest-v2
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",SendMoneyInstapay-v2
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",BillsPaymentTransactions-v1
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",BillsPaymentRequest-v1
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",CasaAccounts-v2
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",ApiBanking-Logout-v1
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",ApiBanking-ChangePassword-v1
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",ApiBanking-2-Way-SMS-v0
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",ApiBanking-Login2FA-v1
